Item	Sales
00	-259437732
01	53522231
02	-668940955
03	-1977936565
04	17957187
05	1698230640
06	623703296
07	960313167
08	1882365369
09	951791873
10	-1258167314
11	215684049
12	39499649
13	885847722
14	-267646787
15	2062832619
16	1727127270
17	323939161
18	-1033543084
19	41465852
20	-1984880661
21	1714355474
22	   0
23	44570390
24	1264744353
25	-259752450
26	1982052849
27	-769135536
28	1056964671
29	-1195013267
30	940737554
31	1849003994
32	1529692143
33	-1223950399
34	455809282
35	2062751833
36	-287875405
37	23198840
38	64391257
39	66544703
40	-1170362182
41	-1983149304
42	-2078511820
43	2053524451
44	36931344
45	1110173550
46	2069694702
47	735278204
48	1685459382
49	1658195159
