      ID  Arrive   Start   Leave
       1       1       1       1
       2       2       2       3
       4       4       4       4
       0       0       0       9
       5       5       5       9
       3       3       9      11
       6       6       9      11
       8       8      11      12
       7       7      11      16
       9       9      16      17
      10      10      12      17
      12      12      17      20
      13      13      20      21
      11      11      17      22
      14      14      22      25
      15      15      21      25
      16      16      25      28
      18      18      25      30
      17      17      28      31
      19      19      31      33
      20      20      30      33
      23      23      33      35
      21      21      33      35
      24      24      35      38
      22      22      35      38
      25      25      38      39
      27      27      39      41
      30      30      41      43
      31      31      43      44
      34      34      44      46
      26      26      38      48
      28      28      48      49
      29      29      49      50
      36      36      46      50
      32      32      50      55
      33      33      55      58
      38      38      50      59
